"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","968.83333333333","851.33333333333","975.83333333333","999.83333333333","969.83333333333","962.83333333333","1.6666666666667","1.3333333333333","2.1666666666667","2.1666666666667","1","4.3333333333333"
"E2","947.83333333333","952.66666666667","922.33333333333","893.83333333333","665.66666666667","709.16666666667","1","7.6666666666667","5.5","6.6666666666667","2.1666666666667","5.3333333333333"
"E3","975.33333333333","994.16666666667","878","909.5","888.16666666667","948","8.5","8.5","9","9.6666666666667","3.6666666666667","3.8333333333333"
"E4","944.66666666667","870.83333333333","837.66666666667","746.16666666667","931.33333333333","789.33333333333","1.1666666666667","8.1666666666667","6.3333333333333","6.3333333333333","2","4.8333333333333"
"E5","954.66666666667","6.3333333333333","980.5","690.83333333333","960.83333333333","587.16666666667","1.6666666666667","5.5","7.1666666666667","4.6666666666667","1.8333333333333","3.1666666666667"
"E6","979.83333333333","779.83333333333","943","902.5","951","919.16666666667","1.5","7.5","5.5","9.5","1.3333333333333","4"
"E7","409.33333333333","3.6666666666667","582.5","856.16666666667","539","965.5","6","8.3333333333333","8.6666666666667","9.1666666666667","2.5","2.8333333333333"
"E8","898.66666666667","143.33333333333","918.16666666667","841.83333333333","955.5","913.16666666667","1.1666666666667","7.6666666666667","4.8333333333333","6.1666666666667","1.6666666666667","4.6666666666667"
"E9","931.5","973.5","892.16666666667","956.16666666667","961.16666666667","958.16666666667","7","8.5","10.333333333333","4.3333333333333","3.3333333333333","2.1666666666667"
"E10","379.5","0.5","280.66666666667","644.16666666667","750.5","974.33333333333","2","5.8333333333333","6.6666666666667","6.1666666666667","2.3333333333333","6"
"E11","970","953.83333333333","978.66666666667","973.5","920.33333333333","942","2.3333333333333","1.5","1.6666666666667","0.83333333333333","1.6666666666667","2"
"E12","598.66666666667","0.66666666666667","885.5","937","959.83333333333","968.66666666667","7","8","9","4.3333333333333","1.6666666666667","2.1666666666667"
"E13","669","254.83333333333","793","984","966.66666666667","974.83333333333","2","2.5","1.3333333333333","2.6666666666667","2.6666666666667","2.3333333333333"
